magazine,title,date,identifier,archive_url
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006980752
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006981628
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006981636
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006981644
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006983723
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006983897
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006988870
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006989035
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006996204
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006996360
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006997244
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006997251
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015006999943
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015007000105
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008826227
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008826235
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008888920
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008888995
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009215321
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009215404
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009225403
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009225486
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009299820
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009299960
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015009300347
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015012360585
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015013159507
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015013159515
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016698980
