date,network,time,program,episode,source,archive_url
1982-01-01,,,TV Guide April 17 23 1982 Western Washington,,Internet Archive,https://archive.org/details/tv-guide-april-17-23-1982-western-washington
1982-01-01,,,TV Guide issues from 1982,,Internet Archive,https://archive.org/details/tv-guide-1982
1982-01-01,,,TV Guide v30n49 (#1549) [1982-12-04] {EXciter},,Internet Archive,https://archive.org/details/tvguidev30n491549dec41982exciter
1982-01-01,,,TV Guide v30n51 (#1551) [1982-12-18] {EXciter},,Internet Archive,https://archive.org/details/tvguidev30n511551dec181982exciter
1982-01-01,,,TV Guide v30n52 (#1552) [1982-12-25] (New Hampshire edition) {EXciter},,Internet Archive,https://archive.org/details/tvguidev30n521552dec251982exciter
1983-01-01,,,C Channel Pay TV Guide,,Internet Archive,https://archive.org/details/c-channel-pay-tv-guide
1983-01-01,,,TV Guide December 10 16 1983 Western Wash St Edition,,Internet Archive,https://archive.org/details/tv-guide-december-10-16-1983-western-wash-st-edition
1983-01-01,CBS,,CBS NEWS-TV GUIDE DISPUTE,,Internet Archive,https://archive.org/details/CIA-RDP90-00845R000201170001-6
1983-01-01,CBS,,CIA Reading Room cia-rdp90-00845r000201170001-6: CBS NEWS-TV GUIDE DISPUTE,,Internet Archive,https://archive.org/details/cia-readingroom-document-cia-rdp90-00845r000201170001-6
1984-01-01,,,1984 TV Guide Fall Preview,,Internet Archive,https://archive.org/details/1984-tv-guide-fall-preview
1984-01-01,,,CIA Reading Room cia-rdp86m00886r001500010007-1: TRANSCRIPT OF PICKERING/GORMAN BRIEFING; TALKING POINTS ON EL SALVADOR; TV GUIDE ARTICLE,,Internet Archive,https://archive.org/details/cia-readingroom-document-cia-rdp86m00886r001500010007-1
1984-01-01,,,TV Guide (Hawaii Edition--1984),,Internet Archive,https://archive.org/details/tvguide1984hawaiiedition
1985-01-01,,,TV Guide 6 15 85,,Internet Archive,https://archive.org/details/tv-guide-6-15-85
1986-01-01,,,1986 08 02 TV Guide,,Internet Archive,https://archive.org/details/1986-08-02-tv-guide
1986-01-01,,,"ERIC ED270749: Ignoring Change: An Evaluation of ""TV Guide"" Covers, 1970-1979.",,Internet Archive,https://archive.org/details/ERIC_ED270749
1986-01-01,,,"Ignoring Change: An Evaluation of ""TV Guide"" Covers, 1970-1979.",,Internet Archive,https://archive.org/details/micro_IA41152910_0553
1986-01-01,,,TV Guide - July - 05 - 11 - 1986,,Internet Archive,https://archive.org/details/tvguidejul05111988
1986-01-01,,,TV Guide January 25 - 31 1986,,Internet Archive,https://archive.org/details/tv-guide-january-25-31-1986
1989-01-01,,,TV Guide Magazine (1989--Revised),,Internet Archive,https://archive.org/details/tvguidemagazineweekof05061989-05121989
1990-01-01,,,TV Guide 12/22/1990 (NYC),,Internet Archive,https://archive.org/details/tvguide-19901222-nyc
1991-01-01,,,Forbidden channels : the truth they hide from TV guide,,Internet Archive,https://archive.org/details/forbiddenchannel0000stal
1991-01-01,,,TV Guide (1991/07/06) (Philadelphia) The Best And The Worst,,Internet Archive,https://archive.org/details/1991-07-06-to-12-tv-guide-philadelphia-the-best-and-the-worst-red
1992-01-01,,,Changing Channels: America in TV Guide,,Internet Archive,https://archive.org/details/isbn_9789000016907
1992-01-01,,,Changing channels : America in TV guide,,Internet Archive,https://archive.org/details/changingchannels00alts
1992-01-01,,,Changing channels : America in TV guide,,Internet Archive,https://archive.org/details/changingchannels1992alts
1992-01-01,,,TV Guide 1.18.1992,,Internet Archive,https://archive.org/details/tv-guide-1.18.1992
1992-01-01,,,TV Guide 9/12/1992 (NYC),,Internet Archive,https://archive.org/details/tvguide-19920912-nyc
1992-01-01,,,"The TV guide TV book : 40 years of the all-time greatest : television facts, fads, hits, and history",,Internet Archive,https://archive.org/details/tvguidetvbook40y00wein
1993-01-01,,,TV Guide 4/17/1993 (NYC),,Internet Archive,https://archive.org/details/tvguide-19930417-nyc
1994-01-01,,,TV Guide 10/1/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941001-nyc
1994-01-01,,,TV Guide 10/15/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941015-nyc
1994-01-01,,,TV Guide 10/22/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941022-nyc
1994-01-01,,,TV Guide 10/29/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941029-nyc
1994-01-01,,,TV Guide 10/8/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941008-nyc
1994-01-01,,,TV Guide 11/12/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941112-nyc
1994-01-01,,,TV Guide 11/26/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941126-nyc
1994-01-01,,,TV Guide 12/10/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941210-nyc
1994-01-01,,,TV Guide 12/17/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941217-nyc
1994-01-01,,,TV Guide 12/24/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941224-nyc
1994-01-01,,,TV Guide 12/31/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19941231-nyc
1994-01-01,,,TV Guide 1994 Crossword Collection,,Internet Archive,https://archive.org/details/tvguide-1994-crossword-collection
1994-01-01,,,TV Guide 6/18/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940618-nyc
1994-01-01,,,TV Guide 6/25/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940625-nyc
1994-01-01,,,TV Guide 7/16/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940716-nyc
1994-01-01,,,TV Guide 7/2/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940702-nyc
1994-01-01,,,TV Guide 7/23/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940723-nyc
1994-01-01,,,TV Guide 7/30/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940730-nyc
1994-01-01,,,TV Guide 8/13/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940813-nyc
1994-01-01,,,TV Guide 8/13/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940813-nyc_202112
1994-01-01,,,TV Guide 8/13/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940813-nyc_20211220
1994-01-01,,,TV Guide 8/20/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940820-nyc
1994-01-01,,,TV Guide 8/27/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940827-nyc
1994-01-01,,,TV Guide 8/6/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940806-nyc
1994-01-01,,,TV Guide 9/10/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940910-nyc
1994-01-01,,,TV Guide 9/17/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940917-nyc_202112
1994-01-01,,,TV Guide 9/24/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940924-nyc
1994-01-01,,,TV Guide 9/3/1994 (NYC),,Internet Archive,https://archive.org/details/tvguide-19940903-nyc
1994-01-01,,,TV guide celebrity cookbook,,Internet Archive,https://archive.org/details/tvguidecelebrity00wein
1995-01-01,,,TV Guide 1/14/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950114-nyc
1995-01-01,,,TV Guide 1/21/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950121-nyc
1995-01-01,,,TV Guide 1/28/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950128-nyc
