week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1971-12-27,Brand New Key,Melanie,A Cable TV Guide for Educators: Uses and Provisions. Second Edition.; Backstage at 'The Mary Tyler Moore Show'- TV Guide Magazine (February 1972); Milwaukee Bucks 1972-1973 official press-radio-TV guide; TV Guide - (1972/05/06) - (Ga) TV Influencing Political Primaries; TV Guide - (1972/09/30 to 06) - (Georgia) - TV Political Coverage Biased,1972-07-22-billboard; 1972-12-07 Rolling Stone ( Excerpt) Spacewar Article 600DPI; A Cable TV Guide for Educators: Uses and Provisions. Second Edition.; Anthropology for the people; a refutation of the theory of the Adamic origin of all races; Backstage at 'The Mary Tyler Moore Show'- TV Guide Magazine (February 1972),
1972-01-03,Brand New Key,Melanie,,,
1972-01-10,American Pie (Parts I & II),Don Mclean,,,
1972-01-17,American Pie (Parts I & II),Don Mclean,,,
1972-01-24,American Pie (Parts I & II),Don Mclean,,,
1972-01-31,American Pie (Parts I & II),Don Mclean,,,
1972-02-07,Let's Stay Together,Al Green,,,
1972-02-14,Without You,Nilsson,,,
1972-02-21,Without You,Nilsson,,,
1972-02-28,Without You,Nilsson,,,
1972-03-06,Without You,Nilsson,,,
1972-03-13,Heart Of Gold,Neil Young,,,
1972-03-20,A Horse With No Name,America,,,
1972-03-27,A Horse With No Name,America,,,
1972-04-03,A Horse With No Name,America,,,
1972-04-10,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-04-17,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-04-24,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-05-01,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-05-08,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-05-15,The First Time Ever I Saw Your Face,Roberta Flack,,,
1972-05-22,Oh Girl,The Chi-lites,,,
1972-05-29,I'll Take You There,The Staple Singers,,,
1972-06-05,The Candy Man,"Sammy Davis, Jr",,,
1972-06-12,The Candy Man,"Sammy Davis, Jr",,,
1972-06-19,The Candy Man,"Sammy Davis, Jr",,,
1972-06-26,Song Sung Blue,Neil Diamond,,,
1972-07-03,Lean On Me,Bill,,,
1972-07-10,Lean On Me,Bill,,,
1972-07-17,Lean On Me,Bill,,,
1972-07-24,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-07-31,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-08-07,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-08-14,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-08-21,Brandy (You're A Fine Girl),Looking Glass,,,
1972-08-28,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-09-04,Alone Again (Naturally),Gilbert O'sullivan,,,
1972-09-11,Black & White,Three Dog Night,,,
1972-09-18,Baby Don't Get Hooked On Me,Mac Davis,,,
1972-09-25,Baby Don't Get Hooked On Me,Mac Davis,,,
1972-10-02,Baby Don't Get Hooked On Me,Mac Davis,,,
1972-10-09,Ben,Michael Jackson,,,
1972-10-16,My Ding-A-Ling,Chuck Berry,,,
1972-10-23,My Ding-A-Ling,Chuck Berry,,,
1972-10-30,I Can See Clearly Now,Johnny Nash,,,
1972-11-06,I Can See Clearly Now,Johnny Nash,,,
1972-11-13,I Can See Clearly Now,Johnny Nash,,,
1972-11-20,I Can See Clearly Now,Johnny Nash,,,
1972-11-27,Papa Was A Rollin' Stone,The Temptations,,,
1972-12-04,I Am Woman,Helen Reddy,,,
1972-12-11,Me And Mrs. Jones,Billy Paul,,,
1972-12-18,Me And Mrs. Jones,Billy Paul,,,
1972-12-25,Me And Mrs. Jones,Billy Paul,,,
1973-01-01,You're So Vain,Carly Simon,TV Guide 1973-12-22 Chicago Metropolitan Edition; TV Guide v21n35 (#0566) [1973-09-01] (jodyanimator),"A Modest Proposal. An Expression of Children's Needs by People in Rural Alaska with Recommendations for Positive Change.; A collection of eighteen papers, relating to the affairs of church & state, during the reign of King James the Second. (Seventeen whereof written in Holland, and first printed there; Accountability, It's People and It's Systems: PPbS. Education Monograph No. 4.; Billboard; Billboard v.85 1973 Jan-Mar",
1973-01-08,You're So Vain,Carly Simon,,,
1973-01-15,You're So Vain,Carly Simon,,,
1973-01-22,Superstition,Stevie Wonder,,,
1973-01-29,Crocodile Rock,Elton John,,,
1973-02-05,Crocodile Rock,Elton John,,,
1973-02-12,Crocodile Rock,Elton John,,,
1973-02-19,Killing Me Softly With His Song,Roberta Flack,,,
1973-02-26,Killing Me Softly With His Song,Roberta Flack,,,
1973-03-05,Killing Me Softly With His Song,Roberta Flack,,,
1973-03-12,Killing Me Softly With His Song,Roberta Flack,,,
1973-03-19,Love Train,The O'jays,,,
1973-03-26,Killing Me Softly With His Song,Roberta Flack,,,
1973-04-02,The Night The Lights Went Out In Georgia,Vicki Lawrence,,,
1973-04-09,The Night The Lights Went Out In Georgia,Vicki Lawrence,,,
1973-04-16,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,,,
1973-04-23,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,,,
1973-04-30,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,,,
1973-05-07,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,,,
1973-05-14,You Are The Sunshine Of My Life,Stevie Wonder,,,
1973-05-21,Frankenstein,Edgar Winter Group,,,
1973-05-28,My Love,Paul Mccartney And Wings,,,
1973-06-04,My Love,Paul Mccartney And Wings,,,
1973-06-11,My Love,Paul Mccartney And Wings,,,
